area_name,year,Am. Indian Alaska Native Median Household Income,Am. Indian Alaska Native Per Capita Money Income (Census),Am. Indian Alaska Native Persons in Poverty,Am. Indian Alaska Native Population for Whom Poverty Is Determined,Annual Wages by Place of Work,Average Annual Employment by Place of Work,Average Annual Wage per Worker,Black Median Household Income,Black Persons for Whom Poverty Status Is Determined,Black Persons in Poverty,Black Unemployment Rate (ACS),Employed Females Age 16 Up,Employed Males Age 16 Up,Employment by Place of Residence,Estimated Median Family Income(HUD),Families in Poverty,Families in Poverty with Female Householder,Families in Poverty with Related Children,Families in Poverty/Female Householder & Children,"Families with Income $10,000-14,999","Families with Income $15,000-24,999","Families with Income $25,000-49,999","Families with Income $50,000 or More",Female Unemployment Rate (ACS),Females Age 16 Up in Labor Force,First Quarter Payroll by Place of Work,Hispanic Median Household Income,Hispanic Persons in Poverty,Hispanic Population for Whom Poverty is Determined,Labor Force by Place of Residence,Male Unemployment Rate (ACS),Males Age 16 Up in Labor Force,Manufacturing Employment by Place of Work,Manufacturing Employment for Residents Age 16 Up,Mean Family Income,Median Family Income,Median Female Income,Median Household Income,Median Income,Median Male Income,Nonagric. Wage & Salary Employment by Place of Work,Nonmanuf. Employment for Residents Age 16 Up,Nonmanufacturing Employment by Place of Work,Per Capita Money Income (Census),Percent  of White Persons in Poverty,Percent of Am. Indian Alaska Native Persons in Poverty,Percent of Black Persons in Poverty,Percent of Hispanic Persons in Poverty,Percent of Persons 65 Up in Poverty,Percent of Persons in Poverty,Percent of Related Children under 18 in Poverty,Percent of Related Children under 6 in Poverty,Persons 65 Up for Whom Poverty Status Is Determined,Persons 65 Up in Poverty,Persons for Whom Poverty Status Is Determined,Persons in Poverty,Related Children under 18 in Poverty,Related Children under 18-Poverty Status Determined,Related Children under 6 in Poverty,Related Children under 6-Poverty Status Determined,Unemployed Females Age 16 Up,Unemployed Males Age 16 Up,Unemployment Rate (ACS),Unemployment Rate by Place of Residence (Percent),Unemployment by Place of Residence,White Persons for Whom Poverty Status Is Determined,White Persons in Poverty
Swain County,2020,49107.0,22442.0,551.0,4294.0,379359531.0,9674.0,39214.0,0.0,64.0,38.0,57.14,2938.0,2847.0,6351.0,47700.0,442.0,300.0,274.0,216.0,124.0,316.0,889.0,2302.0,4.3,3191.0,97384098.0,93796.0,170.0,858.0,6939.0,2.3,3087.0,0.0,180.0,69983.0,63789.0,228514.0,45554.0,256179.0,289740.0,9233.0,5718.0,9233.0,24234.0,15.38,12.83,59.38,19.81,8.57,16.96,24.09,45.83,2580.0,221.0,14039.0,2381.0,755.0,3134.0,390.0,851.0,253.0,127.0,4.65,8.4,588.0,9062.0,1394.0
Transylvania County,2020,0.0,19838.0,0.0,118.0,347100358.0,8908.0,38965.0,62536.0,1286.0,491.0,14.26,6868.0,7091.0,13278.0,56700.0,1008.0,455.0,663.0,406.0,235.0,748.0,2298.0,6093.0,2.2,7205.0,82223068.0,27159.0,315.0,1080.0,14146.0,3.4,7812.0,742.0,1616.0,80869.0,64537.0,242748.0,51509.0,297198.0,367983.0,8869.0,12590.0,8127.0,30577.0,13.33,0.0,38.18,29.17,7.87,14.44,23.5,23.41,10022.0,789.0,32984.0,4764.0,1230.0,5234.0,367.0,1568.0,337.0,474.0,4.07,6.2,868.0,30322.0,4043.0
Tyrrell County,2020,0.0,0.0,13.0,13.0,34066937.0,934.0,36474.0,31373.0,996.0,342.0,6.1,722.0,743.0,1238.0,42900.0,153.0,81.0,119.0,81.0,87.0,104.0,232.0,633.0,3.1,767.0,8180131.0,54135.0,48.0,164.0,1359.0,0.8,792.0,68.0,68.0,64470.0,52016.0,203555.0,38250.0,234443.0,256883.0,761.0,1429.0,693.0,21129.0,10.1,100.0,34.34,29.27,11.37,18.91,41.99,40.74,871.0,99.0,3178.0,601.0,207.0,493.0,55.0,135.0,45.0,17.0,2.875,9.1,121.0,2000.0,202.0
Union County,2020,71150.0,25006.0,105.0,568.0,3038030329.0,62819.0,48362.0,65442.0,26703.0,4075.0,8.69,53391.0,60022.0,113926.0,83500.0,3225.0,1689.0,2355.0,1377.0,865.0,2153.0,9347.0,48687.0,3.0,56188.0,751394265.0,65027.0,3711.0,26296.0,121173.0,3.3,66212.0,11583.0,14372.0,125021.0,94299.0,288552.0,82557.0,390148.0,494582.0,62098.0,102125.0,50515.0,37667.0,6.12,18.49,15.26,14.11,6.8100000000000005,7.43,9.2,9.78,29194.0,1987.0,232835.0,17290.0,5711.0,62048.0,1565.0,15996.0,2772.0,2943.0,3.915,6.1,7247.0,184963.0,11315.0
Vance County,2020,0.0,9878.0,409.0,499.0,531991128.0,13533.0,39311.0,35940.0,21699.0,5460.0,11.41,10137.0,8630.0,15388.0,48100.0,1629.0,1040.0,1239.0,956.0,318.0,1068.0,3006.0,5681.0,4.9,11085.0,133411453.0,40368.0,1111.0,3538.0,17120.0,4.4,9673.0,1342.0,2960.0,68783.0,51913.0,229680.0,41827.0,261052.0,298936.0,13462.0,16141.0,12120.0,23911.0,13.83,81.96,25.16,31.4,13.21,20.03,27.55,39.0,7904.0,1044.0,44051.0,8822.0,2871.0,10420.0,1188.0,3046.0,948.0,709.0,6.3149999999999995,10.1,1731.0,18390.0,2544.0
Wake County,2020,69318.0,31792.0,316.0,3253.0,35819007302.0,550680.0,65045.0,55473.0,214718.0,28820.0,7.45,276513.0,294560.0,546490.0,94100.0,14718.0,7230.0,11687.0,6355.0,3762.0,11312.0,35269.0,215819.0,2.8,288978.0,9324840025.0,56628.0,17637.0,109732.0,584089.0,3.1,316866.0,20235.0,48668.0,130935.0,104072.0,376387.0,83567.0,453079.0,554631.0,550679.0,530752.0,530444.0,42721.0,6.08,9.71,13.42,16.07,7.12,8.52,10.45,11.53,124884.0,8894.0,1068810.0,91083.0,26917.0,257483.0,9422.0,81710.0,12373.0,12979.0,3.5250000000000004,6.5,37598.0,681801.0,41457.0
Warren County,2020,32375.0,22946.0,229.0,1101.0,107325790.0,2978.0,36040.0,31400.0,9407.0,2510.0,10.94,4028.0,3300.0,5919.0,51100.0,828.0,625.0,628.0,595.0,194.0,713.0,1254.0,2529.0,4.0,4371.0,25462345.0,36359.0,146.0,719.0,6560.0,5.0,3936.0,364.0,1434.0,68638.0,50454.0,208241.0,37476.0,243012.0,311575.0,2961.0,6123.0,2597.0,25340.0,13.89,20.8,26.68,20.31,13.84,20.9,35.88,30.78,4900.0,678.0,18866.0,3943.0,1256.0,3501.0,330.0,1072.0,343.0,407.0,6.73,9.8,641.0,7389.0,1026.0
Washington County,2020,0.0,13323.0,0.0,50.0,128468195.0,3082.0,41683.0,20553.0,5669.0,2323.0,11.67,2114.0,2001.0,4034.0,50800.0,624.0,530.0,549.0,530.0,42.0,339.0,847.0,1258.0,3.5,2300.0,33084051.0,0.0,172.0,635.0,4392.0,3.2,2244.0,642.0,554.0,66894.0,47385.0,170214.0,30941.0,216381.0,341011.0,2774.0,3601.0,2132.0,23249.0,13.15,0.0,40.98,27.09,11.13,27.34,45.73,49.03,2802.0,312.0,11615.0,3175.0,1056.0,2309.0,176.0,359.0,186.0,141.0,5.225,8.2,358.0,5307.0,698.0
Watauga County,2020,0.0,15591.0,18.0,271.0,893255638.0,22180.0,40273.0,0.0,609.0,280.0,28.44,12465.0,13875.0,26261.0,69400.0,967.0,409.0,670.0,351.0,185.0,756.0,2318.0,7496.0,4.9,13675.0,217230535.0,31319.0,722.0,1719.0,27997.0,5.6,15909.0,589.0,1228.0,96531.0,75042.0,184107.0,46453.0,218020.0,254650.0,17424.0,25731.0,16835.0,27962.0,23.38,6.64,45.98,42.0,5.94,24.46,19.19,20.15,8748.0,520.0,49752.0,12171.0,1342.0,6995.0,454.0,2253.0,1210.0,1370.0,6.92,6.4,1736.0,46792.0,10938.0
Wayne County,2020,56313.0,28945.0,6.0,299.0,1674314538.0,40311.0,41535.0,37457.0,36716.0,9397.0,8.8,26236.0,25777.0,47430.0,54100.0,4821.0,3060.0,3699.0,2497.0,1304.0,2721.0,7887.0,18524.0,2.6,28017.0,403695590.0,40799.0,4847.0,14639.0,50708.0,3.6,31095.0,5300.0,7348.0,77949.0,59689.0,245113.0,47221.0,287661.0,349019.0,39101.0,45710.0,33801.0,26362.0,15.36,2.01,25.59,33.11,10.31,18.7,30.17,34.66,19991.0,2062.0,120744.0,22581.0,8700.0,28838.0,3360.0,9694.0,1329.0,1702.0,4.08,6.5,3278.0,75054.0,11530.0
Wilkes County,2020,0.0,11731.0,41.0,130.0,799144671.0,19998.0,39961.0,29559.0,2485.0,526.0,18.86,13885.0,15259.0,26544.0,53700.0,2342.0,1003.0,1763.0,909.0,551.0,1678.0,5101.0,11044.0,2.4,14583.0,198507747.0,45789.0,1397.0,4366.0,28483.0,3.5,16767.0,4209.0,5147.0,70035.0,57667.0,220946.0,44980.0,272404.0,326392.0,17085.0,24484.0,12876.0,25634.0,15.47,31.54,21.17,32.0,9.56,16.42,26.45,30.49,14351.0,1372.0,67194.0,11033.0,3530.0,13348.0,1156.0,3791.0,687.0,968.0,4.12,6.8,1939.0,60841.0,9415.0
Wilson County,2020,0.0,7606.0,289.0,372.0,1658649871.0,34954.0,47452.0,35021.0,31816.0,8264.0,14.99,18018.0,16486.0,31380.0,61000.0,2843.0,1433.0,2309.0,1344.0,781.0,2038.0,4879.0,11982.0,4.6,19619.0,438548083.0,29461.0,3336.0,8514.0,34441.0,5.7,18846.0,6936.0,5850.0,75219.0,60313.0,240306.0,44594.0,268873.0,311751.0,34133.0,29228.0,27197.0,24656.0,10.04,77.69,25.97,39.18,14.84,19.94,31.54,35.73,14289.0,2120.0,80062.0,15965.0,5825.0,18470.0,1887.0,5282.0,1589.0,1715.0,6.765,8.9,3062.0,39910.0,4006.0
Yadkin County,2020,42500.0,11822.0,11.0,120.0,356990918.0,9187.0,38858.0,26786.0,1175.0,209.0,3.75,7572.0,8804.0,16074.0,68600.0,991.0,405.0,761.0,333.0,156.0,980.0,2535.0,6252.0,3.4,8102.0,88096565.0,34985.0,1284.0,4138.0,17306.0,2.4,9512.0,2445.0,3447.0,76495.0,63053.0,245454.0,46954.0,297154.0,371382.0,8163.0,13242.0,5718.0,26907.0,12.81,9.17,17.79,31.03,7.8,14.11,22.47,23.03,7235.0,564.0,37199.0,5248.0,1734.0,7716.0,553.0,2401.0,530.0,366.0,3.9450000000000003,7.2,1231.0,34029.0,4358.0
Yancey County,2020,0.0,17385.0,22.0,93.0,171209122.0,4296.0,39853.0,0.0,73.0,3.0,8.82,3579.0,3690.0,7649.0,53400.0,461.0,199.0,330.0,185.0,61.0,402.0,1371.0,2963.0,2.4,3763.0,42307224.0,35382.0,348.0,928.0,8189.0,5.5,4202.0,1104.0,1247.0,72414.0,59923.0,223124.0,44554.0,270589.0,345400.0,3735.0,6096.0,2631.0,25767.0,13.77,23.66,4.11,37.5,7.84,14.66,21.1,21.73,4530.0,355.0,17716.0,2597.0,683.0,3237.0,218.0,1003.0,184.0,399.0,5.54,6.7,540.0,16897.0,2327.0
